"OSTP Impact FF, 1,363,467",,
Year,Mode,Count
2017,Closed,67527
2018,Closed,70488
2019,Closed,69262
2020,Closed,67892
2021,Closed,87603
2017,Green,73667
2018,Green,73793
2019,Green,73742
2020,Green,76597
2021,Green,61195
2017,Gold,45023
2018,Gold,48837
2019,Gold,55035
2020,Gold,67374
2021,Gold,74180
2017,Bronze,42475
2018,Bronze,42628
2019,Bronze,41105
2020,Bronze,42456
2021,Bronze,29903
2017,Hybrid,22348
2018,Hybrid,23772
2019,Hybrid,23538
2020,Hybrid,23088
2021,Hybrid,22944
