Year,Mode,Count
2017,Closed,2803402
2018,Closed,2840395
2019,Closed,2900223
2020,Closed,3044673
2021,Closed,3025281
2017,Green,364484
2018,Green,372845
2019,Green,367879
2020,Green,360113
2021,Green,318420
2017,Gold,1007217
2018,Gold,1215569
2019,Gold,1495758
2020,Gold,1747966
2021,Gold,1877768
2017,Bronze,490210
2018,Bronze,511987
2019,Bronze,538488
2020,Bronze,585321
2021,Bronze,575695
2017,Hybrid,228169
2018,Hybrid,257372
2019,Hybrid,270953
2020,Hybrid,455877
2021,Hybrid,468285
