"Note: USFF, not preprint, not front matter, HBCU group",,
Year,Mode,Count
2016,Closed,603
2017,Closed,628
2018,Closed,656
2019,Closed,666
2020,Closed,591
2021,Closed,636
2022,Closed,718
2016,Green,381
2017,Green,309
2018,Green,310
2019,Green,306
2020,Green,374
2021,Green,398
2022,Green,294
2016,Gold,509
2017,Gold,530
2018,Gold,507
2019,Gold,581
2020,Gold,763
2021,Gold,857
2022,Gold,899
2016,Bronze,258
2017,Bronze,303
2018,Bronze,319
2019,Bronze,333
2020,Bronze,333
2021,Bronze,268
2022,Bronze,129
2016,Hybrid,339
2017,Hybrid,235
2018,Hybrid,198
2019,Hybrid,178
2020,Hybrid,181
2021,Hybrid,224
2022,Hybrid,217
