Category,Fields of Research (ANZSRC 2020)
32 Biomedical and Clinical Sciences,396944
31 Biological Sciences,229739
40 Engineering,200442
34 Chemical Sciences,121037
51 Physical Sciences,118798
42 Health Sciences,117479
46 Information and Computing Sciences,85836
52 Psychology,76004
37 Earth Sciences,62101
49 Mathematical Sciences,49065
41 Environmental Sciences,30904
"30 Agricultural, Veterinary and Food Sciences",29428
44 Human Society,20075
39 Education,11666
"35 Commerce, Management, Tourism and Services",10154
33 Built Environment and Design,9035
38 Economics,7484
"47 Language, Communication and Culture",4187
"43 History, Heritage and Archaeology",3429
50 Philosophy and Religious Studies,2245
48 Law and Legal Studies,1939
36 Creative Arts and Writing,998
