"Note: USFF, not preprint, not front matter",,
Year,Mode,Count
2000,Closed,57846
2001,Closed,65600
2002,Closed,71874
2003,Closed,80488
2004,Closed,87635
2005,Closed,97140
2006,Closed,101222
2007,Closed,95302
2008,Closed,83804
2009,Closed,77079
2010,Closed,77789
2011,Closed,82261
2012,Closed,82399
2013,Closed,85142
2014,Closed,85457
2015,Closed,77646
2016,Closed,71336
2017,Closed,69585
2018,Closed,69495
2019,Closed,68878
2020,Closed,67630
2021,Closed,69862
2022,Closed,88463
2000,Green,7823
2001,Green,9933
2002,Green,11424
2003,Green,13977
2004,Green,17639
2005,Green,24712
2006,Green,29730
2007,Green,38545
2008,Green,58671
2009,Green,68290
2010,Green,71899
2011,Green,71498
2012,Green,70104
2013,Green,73662
2014,Green,71619
2015,Green,68061
2016,Green,66497
2017,Green,63218
2018,Green,61359
2019,Green,64156
2020,Green,71208
2021,Green,69763
2022,Green,46578
2000,Gold,1174
2001,Gold,1456
2002,Gold,1945
2003,Gold,2281
2004,Gold,3501
2005,Gold,4272
2006,Gold,5310
2007,Gold,6476
2008,Gold,8817
2009,Gold,10899
2010,Gold,14057
2011,Gold,18895
2012,Gold,24528
2013,Gold,29232
2014,Gold,33746
2015,Gold,39648
2016,Gold,43911
2017,Gold,48395
2018,Gold,52532
2019,Gold,59872
2020,Gold,72688
2021,Gold,81825
2022,Gold,83720
2000,Bronze,15045
2001,Bronze,16111
2002,Bronze,18390
2003,Bronze,20454
2004,Bronze,22355
2005,Bronze,24181
2006,Bronze,25084
2007,Bronze,26781
2008,Bronze,29546
2009,Bronze,31786
2010,Bronze,32962
2011,Bronze,35616
2012,Bronze,37590
2013,Bronze,37712
2014,Bronze,37510
2015,Bronze,42453
2016,Bronze,45728
2017,Bronze,51224
2018,Bronze,57762
2019,Bronze,52893
2020,Bronze,48454
2021,Bronze,40802
2022,Bronze,19779
2000,Hybrid,5011
2001,Hybrid,4823
2002,Hybrid,5006
2003,Hybrid,5452
2004,Hybrid,6219
2005,Hybrid,5495
2006,Hybrid,5813
2007,Hybrid,6898
2008,Hybrid,7493
2009,Hybrid,8302
2010,Hybrid,9620
2011,Hybrid,14693
2012,Hybrid,16833
2013,Hybrid,16910
2014,Hybrid,20567
2015,Hybrid,27670
2016,Hybrid,36872
2017,Hybrid,35228
2018,Hybrid,34506
2019,Hybrid,33973
2020,Hybrid,34931
2021,Hybrid,33973
2022,Hybrid,33259
